Owner,Address,PrimeType,SecondType,GarOrLot,RegCap,ValetCap,MCCap,LANDUSETYP,Location 1
Private,2110 Market St,PPA, ,L,13,0,0,restaurant,"(37.767378, -122.429344)"
SFMTA,993 Potrero,PPA, ,L,34,0,0, ,"(37.757272, -122.40632)"
Port of SF,601 Terry A Francois Blvd,PPA, ,L,72,0,0, ,"(37.770135, -122.385801)"
Private,11 SOUTH VAN NESS,PHO,CPO,G,130,0,0, ,"(37.77415, -122.418402)"
Private,101 CALIFORNIA ST,PPA, ,G,250,0,0, ,"(37.793243, -122.397495)"
Private,2000 POST ST,PPA, ,G,304,0,0, ,"(37.785078, -122.434745)"
Private,600 CALIFORNIA ST,PPA, ,G,197,0,0, ,"(37.792779, -122.404392)"
Private,35 GILBERT ST,PPA, , ,80,0,0, ,"(37.774337, -122.403257)"
Private,2355 POST ST,PPA, ,L,50,0,0, ,"(37.78397, -122.440218)"
RPD,801 STANYAN ST,PPA, ,L,324,0,0, ,"(37.767202, -122.453432)"
Private,2300 STOCKTON ST,PPA, ,L,200,0,0, ,"(37.807107, -122.410072)"
Private,1 MARKET ST,PPA, ,G,160,0,0, ,"(37.794191, -122.394409)"
Port of SF,100 The Embarcadero,PPA, ,L,100,0,0, ,"(37.794444, -122.391835)"
Private,1101 California St,PPA, ,G,500,0,0, ,"(37.791355, -122.412394)"
Private,1390 Market St,PPA,PHO,G,401,0,10, ,"(37.777332, -122.417114)"
Private,150 CALIFORNIA ST,PPA, ,G,35,0,0, ,"(37.793588, -122.398056)"
Private,153 TOWNSEND ST,PPA, ,G,371,0,0, ,"(37.779602, -122.391181)"
Private,1700 California St,PPA, ,G,155,0,0, ,"(37.790504, -122.422345)"
Private,185 BERRY ST,PPA, ,G,268,0,0, ,"(37.775972, -122.392503)"
Private,199 BEALE ST,PPA, ,L,81,0,0, ,"(37.790147, -122.394056)"
Private,333 MARKET ST,PPA, ,G,120,0,0, ,"(37.791931, -122.397284)"
Private,405 HOWARD ST,PPA, ,G,160,0,0, ,"(37.788948, -122.394895)"
Private,410 Townsend St,PPA, ,G,48,0,0, ,"(37.775111, -122.397604)"
Private,500 BEACH ST,PPA, ,G,575,0,0, ,"(37.807207, -122.417277)"
Port of SF,501 The Embarcadero,PPA, ,L,77,0,0, ,"(37.79995, -122.398604)"
Private,55 FRANCISCO ST,PPA, ,G,400,0,0, ,"(37.805308, -122.406049)"
