NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;DISTRITO;LATITUD;LONGITUD;TELEFONO;TIPO
Bosque del Recuerdo; El Bosque del Recuerdo, anteriormente conocido como Bosque de los Ausentes, es un monumento construido como homenaje a las 191 víctimas de los atentados del 11 de marzo de 2004 en Madrid y al agente de las fuerzas especiales muerto cuando siete autores de los atentados se suicidaron con bombas el 3 de abril de 2004 en Leganés.   El Bosque del Recuerdo se encuentra en la Chopera, en el madrileño parque del Retiro, cerca de la estación de Atocha, y consta de 118 áreas con 192 árboles (22 olivos y 170 cipreses), uno por cada asesinado. ;;;Bus: 19;ALFONSO XII;CALLE;48;28014;RETIRO;40.412.408.966.986.200;-3.689.050.463.043.600;; Parque
Jardines calles Raimundo Fernández Villaverde, Ponzano y Maudes; Jardines situados en la calle Raimundo Fernández Villaverde con gran superficie de pradera y dotada con áreas infantiles y aparatos de entrenamiento de mayores.                                                                                                                                     ;;  Zonas infantiles  Zonas de mayores  Circuito Biosaludable   ; Metro: Nuevos Ministerios (líneas 6, 8 y 10)  Bus: 5, 68, 149, C1, C2  RENFE: Nuevos Ministerios ;RAIMUNDO FERNANDEZ VILLAVERDE;CALLE;32;28003;CHAMBERI;4.044.613.326.792.270;-36.989.699.295.578.300;; Parque
Jardines de la Basílica;" Situados frente a la Basílica Hispanoamericana de la Merced y junto al colegio Patrocinio de San José. Zona principalmente pavimentada aunque tiene también gran superficie de pradera; se caracteriza por sus amplias zonas estacionales.                                                                                                        ";;; Metro: Nuevos Ministerios (líneas 6, 8 y 10)  RENFE: Nuevos Ministerios  Bus: 5 , 69 y 149  ;BASILICA;CALLE;15;28020;TETUAN;4.044.903.638.127.440;-3.695.615.530.710.880;; Parque
Jardines de la calle Teresita González Quevedo; Situados en la confluencia de la calle Capitán Haya con Teresita González de Quevedo. Zona de praderas con distintas especies de árboles y arbustos.                                           ;;;Bus:  3 ,  5 ,  126  ;SAN AMARO;PLAZA;4;28020;TETUAN;4.045.558.642.017.730;-36.970.275.649.098.400;; Parque
Jardines de la Organización Mundial del Turismo; Encontramos en estos jardines grandes zonas de pradera y áreas infantiles.    Otras denominaciones:  Jardines de la Avenida de Brasil                                      ;;;Bus: 5, 126, 149 ;BRASIL;AVENIDA;31;28020;TETUAN;40.458.706.953.002.200;-36.934.625.569.379.300;; Parque
Jardines de la Plaza Conde del Valle de Suchil; Plaza rectangular pavimentada con macizos de arbustos y dotada con dos áreas infantiles, área canina y fuente ornamental.                                                       ;;  Zonas infantiles  Zonas caninas  ; Metro: San Bernardo (líneas 2 y 4)  Bus: 16, 21, 61 ;RODRIGUEZ SAN PEDRO;CALLE;3;28015;CHAMBERI;4.043.137.597.367.300;-37.064.685.006.782.200;; Parque
Jardines de la Plaza de Chamberí;Plaza pavimentada situada junto a la Junta del Distrito en la que podemos encontrar área infantil, fuente ornamental y kiosco.                                                               ;;  Zonas Infantiles  ; Metro: Iglesia (línea 1) Bus: 3, 40 y 147;CHAMBERI;PLAZA;1;28010;CHAMBERI;4.043.285.328.749.450;-3.697.594.475.998.510;; Parque
Jardines de la Plaza de la Villa de París; Plaza formada por dos amplios espacios estanciales, con zonas ajardinadas y arboladas ante el Tribunal Superior de Justicia, antiguo convento de Santa Bárbara. Dotada de zona de juegos infantiles y con grandes espacios en terrizo para el paseo de los ciudadanos.                                                       ;;  Zonas infantiles  Zonas caninas  ; Metro: Colón (línea 4) Bus: 5, 14, 21 ,27, 37, 45, 53, 150;GENERAL CASTAÑOS;CALLE;6;28004;CENTRO;4.042.620.255.233.650;-36.934.468.983.675.800;; Parque
Jardines de la Plaza de Olavide; Plaza circular pavimentada situada entre bloques, dotada de área infantil y aparatos de entrenamiento de mayores.                                ;;  Zonas infantiles  Zonas de mayores    ; Metro: Bilbao (línea 1, 4)  Bus: 3, 16, 37, 40, 61, 149 ;OLAVIDE;PLAZA;16;28010;CHAMBERI;4.043.247.362.678.540;-37.007.855.621.824.200;; Parque
Jardines de la Plaza de Oriente, Lepanto y Cabo Noval; La plaza de Oriente, de forma rectangular cerrada en hemiciclo, está presidida por el Teatro Real y se abre en una gran perspectiva enmarcando la fachada oriental del Palacio Real. Se distinguen tres espacios diferenciados: el parterre central, que se desarrolla en el entorno del famoso grupo escultórico ecuestre  de Felipe  IV , y los jardines del cabo Noval y de Lepanto, que se sitúan a ambos lados.  El parterre central sigue el modelo decimonónico de jardinería: seto de complicados diseños geométricos y figuras toparías (ejemplares perfilados con diversas formas), todo ello guardando simetría con un eje principal. Se utilizan: para el seto el boj, en las esquinas tejos y entre ellos cipreses. Se encuentra un ejemplar de magnolio en el centro de cada figura, y dos fuentes artísticas en los cuadros más cercanos a palacio. Los jardines de Lepanto y Cabo Noval son espacios abiertos y ajardinados para el descanso y recreo de los visitantes. La cantidad de árboles hace de ambos jardines un lugar idóneo para la estancia y el ocio. Los jardines del Cabo Noval, integrados principalmente por plantaciones de plátanos, ocupan la parte septentrional de la Plaza de Oriente, junto a la calle de San Quintín. Los jardines de Lepanto se encuentran en la parte meridional de la plaza y su composición es muy similar.                                                                                                             ;;  Zonas infantiles  ; Metro: Ópera (líneas 2, 5 y ramal)  Bus: 25, 39 ;BAILEN;CALLE;17;28013;CENTRO;4.041.835.486.065.350;-3.712.838.830.603.040;; Parque
Jardines de las Vistillas; Jardín de 1,74 hectáreas que es usado por los madrileños para sentarse en verano en cualquiera de sus terrazas. Fue diseñado en los años 30 y 40 por los arquitectos Fernando García Mercadal (1932) y Manuel Herrero Palacios (1945) que configuraron un primer cuerpo rodeado por un murete al que se accede por unas escaleras, una zona estancial con árboles, fuente central y señalados macizos con césped, pasos de granito y farolas y un busto de Zuloaga. Denominado de las Vistillas por sus magníficas vistas de la ribera del Manzanares y la Casa de Campo, es lugar, además, de famosas verbenas y festejos populares.                                                       ;;  Zonas infantiles  ;Bus: 3, 31, 50, 65, 148;MORERIA;CALLE;12;28005;CENTRO;4.041.281.392.212.300;-37.143.597.156.687.000;; Parque
Jardines de Perón; Jardines situados en la avenida General Perón entre las calles Orense y Reina Mercedes con grandes superficies de praderas y arbustos. Tiene zonas estacionales e infantiles, área canina,  etc .                                                           ;;  Zonas infantiles   Zonas caninas  Instalaciones deportivas  ; Metro: Santiago Bernabéu (línea 10)  Bus: 3, 5, 43, 149  ;GENERAL PERON;AVENIDA;21;28020;TETUAN;4.045.257.591.499.540;-36.957.817.548.357.200;; Parque
Jardines de Sabatini;"  Los Jardines de Sabatini se encuentran situados frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza colgada sobre el Campo del Moro. Se trata de un jardín de estilo neoclásico acorde con el palacio. Se accede al jardín desde dos puntos: la  c/  Bailén, cerca del palacio, a través de una escalera de doble trazado que debe salvar una altura de casi 20 metros desde la que domina la terraza inferior, y las entradas de la zona norte por las que se accede a las otras dos terrazas.  El jardín se divide en tres terrazas: la inferior, marcada por la simetría de los parterres a ambos lados de una gran lámina de agua a modo de espejo con dos surtidores, y enmarcada por cuatro cuadros con sendas fuentes rodeadas por figuras de seto;  la segunda, que forma un impresionante balcón sobre la primera, en donde se domina la totalidad de la fachada norte del Palacio y que bajo un bosque de pinos se extiende hacia la Cuesta de San Vicente, en donde se encuentra una nueva escalera de doble entrada que salva el desnivel hasta la calle; y la tercera, en una altura superior y al este de la segunda terraza, con un juego de parterres y grandes cedros.           ";;;;BAILEN;CALLE;2;28013;CENTRO;40.419.911.287.101.100;-3.713.185.308.888.600;; Parque
