NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;NOMBRE-VIA;CLASE-VIAL;NUM;CODIGO-POSTAL;DISTRITO;LATITUD;LONGITUD;TELEFONO;TIPO
Casa de Galicia;;   Atención al ciudadano:  de lunes a viernes de 9 a 14 horas    Oficina de Turismo:    De lunes a jueves de 9 a 14 y de 16 a 19 horas.  Viernes, de 8 a 15 horas.  Agosto: de lunes a viernes de 9 a 14 horas.     Exposiciones:    De lunes a sábado de 10 a 14 y de 16 a 20 horas.  Domingos y festivos de 10 a 14 horas.    ;;Bus: 10 , 14 , 19 , 27 , 34 , 37 , 45;CASADO DEL ALISAL;CALLE;8;28014;RETIRO;40.413.841.115.871.000;-36.906.090.973.201.900;915 954 200 (centralita) / 915 954 214 (turismo);OficinaTurismo
Centro de Turismo Colón; Se trata del punto de Información turística más grande de Madrid. Situado en una ubicación idónea: junto al Paseo de Recoletos, el famoso Paseo del Arte, el Teatro Fernán Gómez, el Museo Arqueológico y la Biblioteca Nacional consiste en un espacio accesible con zonas de atención al público y salas de reunión en donde se celebran exposiciones temporales y proyecciones turísticas y culturales.  Obra del arquitecto portugués Álvaro Siza, cuenta con 1.017 m2 de superficie dotados con modernas tecnologías para atender las demandas de información turística de los visitantes de Madrid.   Denominación oficial : Centro de Turismo Colón ; De lunes a domingo de 9:30 a 20:30 horas ; Centro de turismo.   Atención presencial  Atención especializada  Autoconsulta  Área tecnológica: acceso gratuito a Internet, WIFI  Accesibilidad: mapas en 3D, mostradores adaptados  Certificado  ICTE  de Q de calidad turística Norma  UNE  187003:2008  ; Metro: Colón (línea 4), Serrano (línea 4)  Bus: 5 , 14 , 21, 27 , 37, 45 , 53 , 150   Renfe: Recoletos ;COLON;PLAZA;1;28046;CENTRO;4.042.500.882.822.320;-36.911.948.422.827.600;"914 544 410 (información turística y Programa de Visitas Guiadas Oficiales)                               
";OficinaTurismo
Centro de Turismo Plaza Mayor;; De lunes a domingo de 9:30 a 21:30 horas.  Venta de entradas para el Programa de Visitas Guiadas Oficiales en el Centro de turismo de lunes a domingo de 9:30 a 20:30 horas. ;"  Atención presencial: especial idiomas asiáticos y ruso  Atención especializada  Autoconsulta  Programa Visitas Guiadas Oficiales  Área tecnológica: audiovisuales, acceso gratuito a Internet, WIFI  Accesibilidad: lengua de signos española, bucle magnético, encaminamientos podotáctiles, rótulos y folletos en braille, asientos ergonómicos, apoyos isquiáticos, mostradores adaptados, guía de turismo accesible  Tienda de Madrid con productos oficiales (tarjeta turística MadridCard y Bus Turístico); libros, camisetas,  CD&rsquo;s , etc.  Certificado  ICTE  de Q de calidad turística Norma  UNE  187003:2008  Certificado  AENOR  de Accesibilidad Universal Norma  UNE  170001-2:2007   "; Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 3, 5, 6, 15, 17, 18, 20, 23, 31, 32, 35, 50, 51, 52, 53, 65, 150  Renfe: Sol ;MAYOR;PLAZA;27;28012;CENTRO;4.041.583.855.082.180;-37.074.257.084.323.600;"914 544 410 (información turística y Programa Visitas Guiadas Oficiales)                                                               
";OficinaTurismo
Delegación de la Generalitat de Cataluña. Oficina de Turismo;;De lunes a viernes de 10:30 a 15 y de 16 a 19:30 horas. ;; Metro: Banco de España (línea 2)  Bus: 5 , 9 , 52 , 53 , 146 , 150 ;ALCALA;CALLE;44;28014;CENTRO;404.182.053.857.487;-36.959.697.554.881.800;"915 241 892 (Oficina de turismo)          
";OficinaTurismo
Oficina Central de Reservas e Información de la Comunidad de Madrid;;De lunes a viernes de 9 a 14 horas;; Metro: Banco de España (línea 2)  Bus: 1, 2, 9, 20, 27, 51, 52, 53, 146, 202, 203 ;RECOLETOS;PASEO;14;28001;SALAMANCA;40.422.504.962.784.700;-3.691.086.697.178.330;912 767 478;OficinaTurismo
Oficina de Turismo de Alemania;;;; Metro: Antón Martín (línea 1), Sol (líneas 1, 2, 3)  Bus: 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 51, 52, 53, 146, 150 ;SAN AGUSTIN;CALLE;2;28014;CENTRO;4.041.515.412.751.350;-3.696.999.116.580.020;914 293 551;OficinaTurismo
Oficina de Turismo de Andorra;;Consultar telefónicamente;; Metro: Retiro (línea 2)  Bus: 1, 2, 9, 15, 20, 28, 51, 52, 74, 146, 202 ;ALCALA;CALLE;73;28009;SALAMANCA;40.420.463.872.305.000;-36.873.998.628.244.500;914 317 453 ;OficinaTurismo
Oficina de Turismo de Argentina;;Consultar telefónicamente;; Metro: Ventura Rodríguez (línea 3), Princesa (líneas 3, 10)  Bus: 1, 2, 44, 133, 202,  C  ;PRINCESA;CALLE;12;28008;CENTRO;404.257.710.639.095;-3.712.551.676.224.900;915 414 447;OficinaTurismo
Oficina de Turismo de Austria;;;; Metro: Plaza de España (líneas 3, 10)  Bus: 3, 46, 75, 138, 148 ;JUAN ALVAREZ MENDIZABAL;CALLE;1;28008;MONCLOA-ARAVACA;4.042.352.919.018.360;-37.137.893.492.193.200;;OficinaTurismo
Oficina de Turismo de Brasil;; De lunes a viernes de 10:30 a 13:30 horas ;; Metro: Alonso Martínez (líneas 4, 5, 10), Rubén Dario (línea 5)  Bus: 3, 5, 7, 14, 21, 27, 45, 150 ;ALMAGRO;CALLE;28;28010;CHAMBERI;4.043.017.960.044.130;-3.692.768.600.492.910;917 020 689;OficinaTurismo
Oficina de Turismo de Castilla - León;;;; Metro: Retiro (línea 2)  Bus: 1 , 2 , 15 , 19 , 20 , 28 , 51 , 52 , 74 , 146 ;ALCALÁ;CALLE;105;28009;SALAMANCA;4.042.177.018.095.310;-36.828.394.778.643.700;915 780 324;OficinaTurismo
Oficina de Turismo de Chile;; Con cita previa ;; Metro: Nuñez de Balboa (líneas 5, 9)  Bus: 1, 9, 19, 51, 74  ;VELAZQUEZ;CALLE;80;28001;SALAMANCA;4.042.984.738.903.380;-36.834.988.415.722.300;914 357 834;OficinaTurismo
Oficina de Turismo de China;;;; Metro: Callao (línea 3)  Bus: 1, 2, 44, 46, 74, 75, 133, 146, 147, 148, 202 ;GRAN VIA;CALLE;39;28013;CENTRO;4.042.009.464.369.330;-3.705.324.957.516.300;915 480 011 (información sobre horarios);OficinaTurismo
Oficina de Turismo de Croacia;;;; Metro: Serrano (línea 4)  Bus: 1, 9, 19, 51, 74 ;CLAUDIO COELLO;CALLE;22;28001;SALAMANCA;4.042.308.011.875.360;-3.686.789.938.909.180;917 815 514 (información sobre horarios);OficinaTurismo
Oficina de Turismo de Cuba;;Consultar telefónicamente;; Metro: Santiago Bernabéu (línea 10)  Bus: 14, 27, 40, 43, 120, 126, 147, 150 ;HABANA;PASEO;50;28036;CHAMARTIN;404.509.737.804.771;-36.864.959.795.755.200;914 113 097;OficinaTurismo
Oficina de Turismo de Ecuador;;;; Metro: Nuñez de Balboa (líneas 5, 9)  Bus: 9, 12, 19, 51, 61 ;SERRANO;CALLE;43;28001;SALAMANCA;4.042.890.517.804.670;-3.687.426.857.198.850;t.arregui@ecuatropic.es;OficinaTurismo
