PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
2392;"Auditorio al aire libre Berlín";" Su mantenimiento es competencia de la Junta de Distrito de Chamartín.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: Concha Espina (línea 9)  Bus: 16, 29, 52 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD";"SAN ERNESTO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28002";"CIUDAD JARDIN";"CHAMARTIN";"442705";"4478046";"40.44922827996293";"-3.6769497658700185";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2395;"Auditorio al aire libre. Centro Cultural el Pozo";" Su mantenimiento es competencia de la Junta de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Bus: 24 , 102  Renfe: El Pozo ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD";"ANDALUCES DEL POZO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"444014";"4469470";"40.37205115069376";"-3.6607696928316744";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2396;"Auditorio al aire libre. Entrevías";" Su mantenimiento es competencia de la Junta de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Bus: 111, 102  Renfe: Asamblea de Madrid - Entrevías. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD";"SUR";"RONDA";"V";"8";"";"";"";"Altura calle Montánchez";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443119";"4469620";"40.37253969509114";"-3.6698091602059613";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122296;"Auditorio al aire libre. Jardín Campo del Toro";" Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: Miguel Hernández (línea 1)  Bus: 54, 144 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD";"RAFAEL ALBERTI";"AVENIDA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28038";"PALOMERAS SURESTE";"PUENTE DE VALLECAS";"445976";"4471586";"40.391243183343065";"-3.6378399212215826";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122325;"Auditorio al aire libre. Parque Alcalde Carlos Arias";" Su mantenimiento es competencia de la Junta de Distrito de Latina.   Actividades : espectáculos variados durante los meses de verano ";"";"";" Metro: Aluche y empalme (línea 5)  Bus: 25, 121, 138   RENFE: Aluche ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"ILLESCAS";"CALLE";"V";"149";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"435664";"4471826";"40.392680212409495";"-3.7593572957930554";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2393;"Auditorio al aire libre. Parque Cerro Almodóvar";" Su mantenimiento es competencia de la Junta de Distrito de Latina.   Actividades : espectáculos variados durante los meses de verano ";"";"";" Metro: Laguna (línea 6)  Cercanías: Laguna (línea C5)  Bus: 25, 31, 119, 55   ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD";"MARCELINO CASTILLO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"436909";"4471985";"40.39420802732146";"-3.744692836307442";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2399;"Auditorio al aire libre. Parque de Canillejas";" Su mantenimiento es competencia de la Junta de Distrito de San Blas - Canillejas.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: Torre Arias (línea 5)  Bus: 28, 48 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28022";"CANILLEJAS";"SAN BLAS-CANILLEJAS";"448278";"4477271";"40.44260378345522";"-3.6111693057729117";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122295;"Auditorio al aire libre. Parque de La Bombilla";" Su mantenimiento es competencia de la Junta de Distrito de Moncloa - Aravaca.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: Arg&uuml;elles (líneas 3, 4 y 6)  Bus: 41, 46, 75 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9233cbf06c81c010VgnVCM1000000b205a0aRCRD";"SAN ANTONIO DE LA FLORIDA";"GLORIETA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438527";"4475507";"40.426047943114646";"-3.725969994297979";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2387;"Auditorio al aire libre. Parque de la Vaguada";"";"";"Templete de Música";" Metro: Peña Grande (línea 7), Barrio del Pilar (línea 9)  Bus: 49 , 67 , 83 , 124 , 128 , 132 , 133 , 137 ";"  Mantenimiento :   Área   de Gobierno de Medio Ambiente y Movilidad ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD";"VAGUADA";"PASEO";"V";"13";"";"";"";"Avenida de Betanzos con Paseo de la Vaguada";"MADRID";"MADRID";"28029";"EL PILAR";"FUENCARRAL-EL PARDO";"439821";"4481504";"40.48016602497203";"-3.7112978051427574";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2398;"Auditorio al aire libre. Parque de la Vicalvarada";" Su mantenimiento es competencia de la Junta de Distrito de Vicálvaro.   Actividades : espectáculos variados durante los meses de verano. ";"";"";"Bus: 4, 100, 106, 130";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=01737b503a71c010VgnVCM1000000b205a0aRCRD";"VILLABLANCA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28032";"AMBROZ";"VICALVARO";"448471";"4473573";"40.40930182229157";"-3.608605091516184";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2394;"Auditorio al aire libre. Parque de las Cruces";" Su mantenimiento es competencia de la Junta de Distrito de Latina. Está situado junto al estanque del Parque.   Actividades : espectáculos variados durante los meses de verano ";"";"";" Metro: Aluche (línea 5)  Bus: 121, 131, 139, 155, 34  Cercanías: Aluche (línea C5) ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=93837b503a71c010VgnVCM1000000b205a0aRCRD";"POBLADOS";"AVENIDA";"V";"68";"";"";"";"Frente al nº 68 de la Avenida de los Poblados";"MADRID";"MADRID";"28044";"LAS AGUILAS";"LATINA";"435643";"4470804";"40.38346299017235";"-3.759501184000619";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
52514;"Auditorio al aire libre. Parque de Olof Palme";" Su mantenimiento es competencia de la Junta de Distrito de Usera.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: Plaza Elíptica (líneas 6, 11)  Bus: 6, 47, 55, 60, 78, 81, 116, 247  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1185946be351c010VgnVCM2000000c205a0aRCRD";"CERECINOS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28026";"ZOFIO";"USERA";"439636";"4470909";"40.38439900273861";"-3.7129519968429445";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
6622017;"Auditorio al aire libre. Parque de Pradolongo";" Su mantenimiento es competencia de la Junta de Distrito de Usera.   Actividades : espectáculos variados durante los meses de verano. ";"";"";" Metro: San Fermín-Orcasur (línea 3)  Renfe: Orcasitas (línea 5)  Bus: 81, 121 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0bae296aa2c9a310VgnVCM2000000c205a0aRCRD";"POBLADOS";"AVENIDA";"V";"169";"";"";"";"";"MADRID";"MADRID";"28041";"PRADOLONGO";"USERA";"440107";"4469492";"40.3719863231287";"-3.7067784594450583";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
