IDELEM;LOCALIZACI;NUM;TIPO;OBSERV;LON0
2805;ABRANTES;101;501;;12,61
1272;ABRANTES;79;502;ACCESO A COLEGIO;16,14
1303;ABRANTES;40;501;;11,9
308;ACACIAS;43;501;;16
90;ACACIAS;1;501;ACCESO A COLEGIO;15,75
311;ACACIAS;40;501;;15,8
293;ACACIAS;27;501;;15,8
295;ACACIAS;25;501;;15,61
315;ACACIAS;62;501;;15,61
349;ACANTO;16;501;ACCESO A CENTRO COMERCIAL;8,23
1700;ACCESO M-30 - LOPEZ DE HOYOS;231;501;;14
1698;ACCESO M-30 - LOPEZ DE HOYOS;230;501;;9,84
1595;ACCESO RECINTOS FERIALES;1;502;;13,06
1748;ACCESO TUNEL CALLE 30;0;501;ACCESO AL INTERCAMBIADOR DE TRANSPORTE DE PRINCIPE PIO;13,56
5045;ACEUCHAL;12;501;;6,28
8053;AFUERAS A VALVERDE;0;502;;9,38
8054;AFUERAS A VALVERDE;0;502;;9,27
2162;AGUILON;1;501;;6,43
1434;AGUSTIN DE FOXA;32;501;;18,2
1428;AGUSTIN DE FOXA;20;501;;17,75
2698;AGUSTIN DE FOXA;1;501;;11,2
7784;AGUSTIN DE FOXA;19;501;;6,04
1426;AGUSTIN DE FOXA;19;501;;9,34
864;AJOFRIN;28;501;;10,64
2863;AJOFRIN;2;501;;11,85
2313;ALBASANZ;2;501;0;10,14
1681;ALBASANZ;55;501;;11,95
1335;ALBERICIA;1;501;;18,71
862;ALBERIQUE;10;501;;11,73
7753;ALBERTO AGUILERA;18;501;;10,5
158;ALBERTO AGUILERA;2;501;ACCESO AL METRO;10,7
2977;ALBERTO AGUILERA;62;501;;8
2523;ALBERTO AGUILERA;11;501;;10,5
2976;ALBERTO AGUILERA;25;501;ARBOL EN BARBACANA;10,5
7754;ALBERTO AGUILERA;2;501;ACCESO AL METRO;10,61
167;ALBERTO AGUILERA;62;501;;9,72
2526;ALBERTO AGUILERA;42;501;;10,5
2525;ALBERTO AGUILERA;15;501;;10,5
171;ALBERTO AGUILERA;74;501;;24,58
7752;ALBERTO AGUILERA;20;501;ARBOL EN BARBACANA Y TAPA REGISTRO EN CALZADA;10,5
2025;ALBERTO ALCOCER;2;501;;12,42
4721;ALBERTO ALCOCER;37;501;;12,34
4720;ALBERTO ALCOCER;38;501;;9,33
2024;ALBERTO ALCOCER;1;501;ADICIONALMENTE AMPLIAR MEDIANA;13,7
4715;ALBERTO ALCOCER;44;501;;14,84
4714;ALBERTO ALCOCER;41;501;;12,29
1006;ALBUFERA;285;501;;13,09
1803;ALBUFERA;117;501;;12,15
1193;ALBUFERA;35;502;;11,97
1206;ALBUFERA;179;501;;16,84
1203;ALBUFERA;83;502;TAPAS DE REGISTRO EN CALZADA;11,87
1201;ALBUFERA;71;502;;12,08
1195;ALBUFERA;49;501;;12,1
2358;ALBUFERA;273;501;;9,12
6685;ALBUFERA;319;502;;6,78
1007;ALBUFERA;270;501;;8,29
1199;ALBUFERA;66;501;;12,13
2357;ALBUFERA;252;501;;11,09
1189;ALBUFERA;26;501;;12,38
1002;ALBUFERA;268;501;;9,97
6681;ALBUFERA;319;501;;6,58
6682;ALBUFERA;319;501;;9,38
2068;ALBUFERA;7;501;;11,99
2224;ALBUFERA;151;502;PETICION ONCE DTT 452/2010;12,43
6684;ALBUFERA;319;502;;10,58
1003;ALBUFERA;283;501;;8,82
1080;ALCALA;572;501;;12,96
617;ALCALA;419;501;ACCESO AL INTERCAMBIADOR DE TRANSPORTE. KIOSCO ONCE.;19,58
1081;ALCALA;601;501;;16,91
1815;ALCALA;275;501;KIOSCO ONCE. ACCESO METRO;13,1
2770;ALCALA;72;501;;19,43
433;ALCALA;195;501;;18,2
2772;ALCALA;141;501;;19,5
2773;ALCALA;88;501;;19,43
614;ALCALA;417;501;ACCESO AL INTERCAMBIADOR DE TRANSPORTE Y CENTRO COMERCIAL. KIOSCO ONCE.;15,5
1814;ALCALA;294;501;;12,72
7049;ALCALA;442;501;;6,62
2587;ALCALA;304;501;ACCESO METRO;12,97
2051;ALCALA;53;501;;14,09
2542;ALCALA;405;501;;11,99
1725;ALCALA;98;501;;18,44
6383;ALCALA;334;501;PROXIMO A PLAZA PMR;11,57
61;ALCALA;39;501;;9,3
3248;ALCALA;96;501;;16,27
2870;ALCALA;476;501;ARBOL EN BARBACANA;9,38
2454;ALCALA;58;501;;13,7
1344;ALCALA;382;501;ACCESO METRO;11,89
432;ALCALA;197;501;;17
54;ALCALA;50;501;;13,66
2142;ALCALA;76;501;;19,2
66;ALCALA;60;501;ACCESO AL PARQUE DEL RETIRO;15,5
65;ALCALA;71;501;ACCESO AL PARQUE DEL RETIRO;11,87
63;ALCALA;43;501;;10,5
60;ALCALA;40;501;;13
59;ALCALA;51;501;;11,28
58;ALCALA;48;501;;14,61
1078;ALCALA;557;502;;13,62
732;ALCALA;173;501;;17,9
2453;ALCALA;65;501;;13,7
889;ALCALA;470;501;;7,46
623;ALCALA;356;501;;12,06
628;ALCALA;318;501;;12,88
885;ALCALA;442;501;;6,61
892;ALCALA;488;501;;7,45
1495;ALCALA;233;501;;17,3
891;ALCALA;491;501;;7,04
624;ALCALA;371;501;ACCESO METRO;11,9
896;ALCALA;537;501;;20,31
2333;ALCALA;634;501;GR.6  ONCE 2010/260163;9,05
2869;ALCALA;481;501;FAROLA Y ARBOL EN BARBACANA;8,83
1493;ALCALA;237;501;ACCESO A LA PLAZA DE TOROS DE LAS VENTAS;23,3
888;ALCALA;477;501;;6,68
2332;ALCALA;634;501;GR.5  ONCE 2010/260163;14,71
2315;ALCALA;213;502;ARBOL EN BARBACANA. CAJA MADRID;16,2
627;ALCALA;341;501;ACCESO A METRO QUINTANA;12
893;ALCALA;535;501;;16,14
8022;ALCALDE CONDE DE MAYALDE;3;502;;12,94
8017;ALCALDE CONDE DE MAYALDE;1;502;;9,57
2278;ALCALDE CONDE DE MAYALDE;1;501;;3,16
