"Año","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2009","Andalucía","Almería","363.0"
"Año 2009","Andalucía","Cádiz","1107.0"
"Año 2009","Andalucía","Córdoba","498.0"
"Año 2009","Andalucía","Granada","553.0"
"Año 2009","Andalucía","Huelva","611.0"
"Año 2009","Andalucía","Jaén","398.0"
"Año 2009","Andalucía","Málaga","1415.0"
"Año 2009","Andalucía","Sevilla","2073.0"
"Año 2009","Aragón","Huesca","84.0"
"Año 2009","Aragón","Teruel","56.0"
"Año 2009","Aragón","Zaragoza","567.0"
"Año 2009","Principado de Asturias","Asturias","833.0"
"Año 2009","Islas Baleares","Islas Baleares","1466.0"
"Año 2009","Canarias","Las Palmas","1738.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","1319.0"
"Año 2009","Cantabria","Cantabria","399.0"
"Año 2009","Castilla y León","Ávila","116.0"
"Año 2009","Castilla y León","Burgos","220.0"
"Año 2009","Castilla y León","León","346.0"
"Año 2009","Castilla y León","Palencia","107.0"
"Año 2009","Castilla y León","Salamanca","180.0"
"Año 2009","Castilla y León","Segovia","110.0"
"Año 2009","Castilla y León","Soria","72.0"
"Año 2009","Castilla y León","Valladolid","372.0"
"Año 2009","Castilla y León","Zamora","61.0"
"Año 2009","Castilla - La Mancha","Albacete","350.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","494.0"
"Año 2009","Castilla - La Mancha","Cuenca","180.0"
"Año 2009","Castilla - La Mancha","Guadalajara","292.0"
"Año 2009","Castilla - La Mancha","Toledo","865.0"
"Año 2009","Cataluña","Barcelona","4497.0"
"Año 2009","Cataluña","Girona","943.0"
"Año 2009","Cataluña","Lleida","346.0"
"Año 2009","Cataluña","Tarragona","1001.0"
"Año 2009","Comunidad Valenciana","Alicante","2419.0"
"Año 2009","Comunidad Valenciana","Castellón","522.0"
"Año 2009","Comunidad Valenciana","Valencia","1780.0"
"Año 2009","Extremadura","Badajoz","489.0"
"Año 2009","Extremadura","Cáceres","225.0"
"Año 2009","Galicia","A Coruña","405.0"
"Año 2009","Galicia","Lugo","166.0"
"Año 2009","Galicia","Ourense","179.0"
"Año 2009","Galicia","Pontevedra","572.0"
"Año 2009","Comunidad de Madrid","Madrid","6570.0"
"Año 2009","Región de Murcia","Murcia","1978.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","366.0"
"Año 2009","País Vasco","Álava","151.0"
"Año 2009","País Vasco","Guipúzcoa","326.0"
"Año 2009","País Vasco","Vizcaya","512.0"
"Año 2009","La Rioja","La Rioja","294.0"
"Año 2009","Ceuta","Ceuta","81.0"
"Año 2009","Melilla","Melilla","14.0"
"Año 2010","Andalucía","Almería","366.0"
"Año 2010","Andalucía","Cádiz","1103.0"
"Año 2010","Andalucía","Córdoba","383.0"
"Año 2010","Andalucía","Granada","407.0"
"Año 2010","Andalucía","Huelva","598.0"
"Año 2010","Andalucía","Jaén","393.0"
"Año 2010","Andalucía","Málaga","1014.0"
"Año 2010","Andalucía","Sevilla","1731.0"
"Año 2010","Aragón","Huesca","77.0"
"Año 2010","Aragón","Teruel","58.0"
"Año 2010","Aragón","Zaragoza","468.0"
"Año 2010","Principado de Asturias","Asturias","818.0"
"Año 2010","Islas Baleares","Islas Baleares","1268.0"
"Año 2010","Canarias","Las Palmas","1518.0"
"Año 2010","Canarias","Santa Cruz de Tenerife","1201.0"
"Año 2010","Cantabria","Cantabria","329.0"
"Año 2010","Castilla y León","Ávila","118.0"
"Año 2010","Castilla y León","Burgos","224.0"
"Año 2010","Castilla y León","León","395.0"
"Año 2010","Castilla y León","Palencia","80.0"
"Año 2010","Castilla y León","Salamanca","94.0"
"Año 2010","Castilla y León","Segovia","91.0"
"Año 2010","Castilla y León","Soria","84.0"
"Año 2010","Castilla y León","Valladolid","494.0"
"Año 2010","Castilla y León","Zamora","71.0"
"Año 2010","Castilla - La Mancha","Albacete","299.0"
"Año 2010","Castilla - La Mancha","Ciudad Real","488.0"
"Año 2010","Castilla - La Mancha","Cuenca","130.0"
"Año 2010","Castilla - La Mancha","Guadalajara","297.0"
"Año 2010","Castilla - La Mancha","Toledo","840.0"
"Año 2010","Cataluña","Barcelona","4135.0"
"Año 2010","Cataluña","Girona","822.0"
"Año 2010","Cataluña","Lleida","265.0"
"Año 2010","Cataluña","Tarragona","932.0"
"Año 2010","Comunidad Valenciana","Alicante","2234.0"
"Año 2010","Comunidad Valenciana","Castellón","512.0"
"Año 2010","Comunidad Valenciana","Valencia","1966.0"
"Año 2010","Extremadura","Badajoz","548.0"
"Año 2010","Extremadura","Cáceres","216.0"
"Año 2010","Galicia","A Coruña","402.0"
"Año 2010","Galicia","Lugo","201.0"
"Año 2010","Galicia","Ourense","218.0"
"Año 2010","Galicia","Pontevedra","521.0"
"Año 2010","Comunidad de Madrid","Madrid","5976.0"
"Año 2010","Región de Murcia","Murcia","1894.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","301.0"
