"Año","Comunidad autónoma","Provincia","Tramo de edad Víctima","Pareja - Expareja","Número de víctimas mortales"
"Año 2003","Andalucía","Almería","41-50 años","Pareja","1.0"
"Año 2003","Andalucía","Cádiz","21-30 años","Expareja","1.0"
"Año 2003","Andalucía","Cádiz","31-40 años","Pareja","1.0"
"Año 2003","Andalucía","Cádiz","41-50 años","Pareja","1.0"
"Año 2003","Andalucía","Córdoba","31-40 años","Pareja","1.0"
"Año 2003","Andalucía","Granada","75-84 años","Pareja","1.0"
"Año 2003","Andalucía","Jaén","21-30 años","Expareja","1.0"
"Año 2003","Andalucía","Jaén","31-40 años","Expareja","1.0"
"Año 2003","Andalucía","Jaén",">85 años","Pareja","1.0"
"Año 2003","Andalucía","Málaga","21-30 años","Pareja","1.0"
"Año 2003","Andalucía","Málaga","75-84 años","Pareja","1.0"
"Año 2003","Andalucía","Sevilla","31-40 años","Pareja","1.0"
"Año 2003","Andalucía","Sevilla","41-50 años","Pareja","1.0"
"Año 2003","Aragón","Teruel","21-30 años","Pareja","1.0"
"Año 2003","Aragón","Zaragoza","31-40 años","Pareja","1.0"
"Año 2003","Principado de Asturias","Asturias","21-30 años","Expareja","1.0"
"Año 2003","Principado de Asturias","Asturias","No consta","Pareja","1.0"
"Año 2003","Islas Baleares","Islas Baleares","31-40 años","Pareja","1.0"
"Año 2003","Islas Baleares","Islas Baleares","41-50 años","Pareja","1.0"
"Año 2003","Islas Baleares","Islas Baleares","51-64 años","Pareja","2.0"
"Año 2003","Canarias","Las Palmas","21-30 años","Pareja","1.0"
"Año 2003","Canarias","Las Palmas","31-40 años","Expareja","1.0"
"Año 2003","Canarias","Las Palmas","41-50 años","Expareja","1.0"
"Año 2003","Canarias","Santa Cruz de Tenerife","31-40 años","Pareja","2.0"
"Año 2003","Canarias","Santa Cruz de Tenerife","No consta","Pareja","1.0"
"Año 2003","Cantabria","Cantabria","31-40 años","Pareja","1.0"
"Año 2003","Castilla y León","León","51-64 años","Expareja","1.0"
"Año 2003","Castilla y León","Salamanca","41-50 años","Expareja","1.0"
"Año 2003","Castilla y León","Valladolid","41-50 años","Pareja","1.0"
"Año 2003","Castilla y León","Valladolid","65-74 años","Pareja","1.0"
"Año 2003","Castilla - La Mancha","Albacete","41-50 años","Pareja","1.0"
"Año 2003","Castilla - La Mancha","Toledo","21-30 años","Pareja","1.0"
"Año 2003","Cataluña","Barcelona","31-40 años","Expareja","2.0"
"Año 2003","Cataluña","Barcelona","31-40 años","Pareja","2.0"
"Año 2003","Cataluña","Barcelona","41-50 años","Pareja","1.0"
"Año 2003","Cataluña","Barcelona","51-64 años","Expareja","1.0"
"Año 2003","Cataluña","Barcelona","No consta","Pareja","1.0"
"Año 2003","Cataluña","Girona","31-40 años","Pareja","1.0"
"Año 2003","Cataluña","Girona","No consta","Pareja","1.0"
"Año 2003","Cataluña","Lleida","65-74 años","Pareja","1.0"
"Año 2003","Cataluña","Tarragona","21-30 años","Pareja","1.0"
"Año 2003","Cataluña","Tarragona","41-50 años","Expareja","1.0"
"Año 2003","Comunidad Valenciana","Alicante","No consta","Pareja","1.0"
"Año 2003","Comunidad Valenciana","Castellón","No consta","Pareja","1.0"
"Año 2003","Comunidad Valenciana","Valencia","18-20 años","Expareja","1.0"
"Año 2003","Comunidad Valenciana","Valencia","21-30 años","Expareja","1.0"
"Año 2003","Comunidad Valenciana","Valencia","21-30 años","Pareja","1.0"
"Año 2003","Comunidad Valenciana","Valencia","31-40 años","Pareja","1.0"
"Año 2003","Comunidad Valenciana","Valencia","41-50 años","Pareja","1.0"
"Año 2003","Extremadura","Badajoz","31-40 años","Pareja","1.0"
"Año 2003","Galicia","A Coruña","31-40 años","Pareja","1.0"
"Año 2003","Galicia","A Coruña","41-50 años","Pareja","1.0"
"Año 2003","Galicia","A Coruña","65-74 años","Pareja","1.0"
"Año 2003","Galicia","Pontevedra","31-40 años","Expareja","1.0"
"Año 2003","Galicia","Pontevedra","31-40 años","Pareja","1.0"
"Año 2003","Comunidad de Madrid","Madrid","21-30 años","Pareja","1.0"
"Año 2003","Comunidad de Madrid","Madrid","31-40 años","Pareja","1.0"
"Año 2003","Comunidad de Madrid","Madrid","41-50 años","Pareja","2.0"
"Año 2003","Comunidad de Madrid","Madrid","65-74 años","Pareja","1.0"
"Año 2003","Región de Murcia","Murcia","21-30 años","Pareja","2.0"
"Año 2003","Región de Murcia","Murcia","31-40 años","Pareja","1.0"
"Año 2003","Comunidad Foral de Navarra","Navarra","31-40 años","Pareja","1.0"
"Año 2003","La Rioja","La Rioja","21-30 años","Expareja","1.0"
"Año 2003","La Rioja","La Rioja","31-40 años","Pareja","1.0"
"Año 2003","Ceuta","Ceuta","31-40 años","Pareja","1.0"
"Año 2003","No consta","No consta","No consta","No consta","0.0"
"Año 2004","Andalucía","Almería","21-30 años","Pareja","1.0"
"Año 2004","Andalucía","Almería","31-40 años","Expareja","1.0"
"Año 2004","Andalucía","Cádiz","18-20 años","Pareja","1.0"
"Año 2004","Andalucía","Cádiz","31-40 años","Pareja","1.0"
